urm_id,level,section,title,statement,togaf_domain,standard,internal_source,status,map_epic_section,map_togaf_artifact,map_apqc_pcf,map_iso,map_local_1,map_local_2,notes
EgD-URM-1,1,1,Governance and Authority,"Who may decide, who must review, and what a controlled artefact is.",,,,,,,,,,,
EgD-URM-1.1,2,1.1,Umbrella copyright and dual-helix authority,Church authority and utility authority are paired under one umbrella copyright rather than a single owner.,Business,,concepts/dual-helix-governance,Canon,,,,,,,
EgD-URM-1.2,2,1.2,Church review gate,Doctrinal conformance and Church testing are release requirements for any parishioner-facing build.,Business,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-1.3,2,1.3,Controlled-document canon,"Specifications ship as PDF with document ID, key ID, content hash, ISO-8601 stamp, watermark, copyright line and closing mark.",Business,ISO 8601,concepts/eve-glyph-design-system,Canon,,,,,,,
EgD-URM-1.4,2,1.4,Naming and mark control,Studio name and product title are separate assets; product titles are cleared before publication and third-party marks are never used.,Business,,projects/eve-hyperloop,Open,,,,,,,
EgD-URM-1.5,2,1.5,Licence posture,Engine and framework are permissively licensed; narrative content stays EgD-owned; every third-party asset carries a recorded licence.,Business,"MIT, Apache-2.0",concepts/github-as-durable-asset,Canon,,,,,,,
EgD-URM-1.6,2,1.6,Defect register and change control,"Breaches of canon are appended to a register in the same session, never silently corrected.",Business,,projects/eve-glyph-boot-contract,Canon,,,,,,,
EgD-URM-1.7,2,1.7,"Safety first, betterment second","Where safety and capability conflict, safety wins and the trade is recorded.",Business,,concepts/safety-first-betterment-second,Canon,,,,,,,
EgD-URM-2,1,2,Safeguarding and Child Protection,"The walls around a child-facing surface, stated before any feature.",,,,,,,,,,,
EgD-URM-2.1,2,2.1,Closed communication walls,"No chat, voice channels, friend requests, camera, microphone, uploads, advertising, trackers or outbound links on the child surface.",Business,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-2.2,2,2.2,Describe before generate,The child must describe intent in their own words before any generative step runs.,Application,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-2.3,2,2.3,Mandatory Stand-Up,"Every twelve minutes of active play triggers a non-skippable 66-second eyes, spine and reach break with a seated accommodation. The interval may be shortened for younger cohorts, never lengthened.",Application,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-2.4,2,2.4,Fictional-imagery notice,Imaginative or symbolic imagery is labelled as fiction at the point of display.,Business,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-2.5,2,2.5,Age banding and cohort scope,"Content, session length and social surface are bounded by age band and school cohort.",Business,,projects/eve-glyph-education,Canon,,,,,,,
EgD-URM-2.6,2,2.6,Consent and skip gates,"Start position, consent and skip gates run before the guided demo; interaction unlocks only in the play phase.",Application,,projects/paix-educational-game,Canon,,,,,,,
EgD-URM-2.7,2,2.7,Guardian visibility,A guardian can see what the child saw without surveilling the child in real time.,Business,,projects/eve-glyph-education,Proposed,,,,,,,
